m1_source,m2_source,dL,likelihood,prior,posterior
1.752527049275608872e+00,1.230694076348965771e+00,2.740000000000000000e+02,2.409781382159380758e+00,1.000000000000000000e+00,2.409781382159380758e+00
2.157779177951009153e+00,1.020909008270460161e+00,2.740000000000000000e+02,3.653147108177276614e+00,1.000000000000000000e+00,3.653147108177276614e+00
2.116370932333336174e+00,1.038688119136111032e+00,2.740000000000000000e+02,3.513491467605536211e+00,1.000000000000000000e+00,3.513491467605536211e+00
1.919052382888273289e+00,1.133138290989195163e+00,2.740000000000000000e+02,2.888511787894989968e+00,1.000000000000000000e+00,2.888511787894989968e+00
1.813579775524971183e+00,1.193092663930384933e+00,2.740000000000000000e+02,2.579669374285249006e+00,1.000000000000000000e+00,2.579669374285249006e+00
2.353163628267655128e+00,9.482746606911858223e-01,2.740000000000000000e+02,4.344033114773313109e+00,1.000000000000000000e+00,4.344033114773313109e+00
1.648238314296618157e+00,1.304327345516027803e+00,2.740000000000000000e+02,2.131257676925670363e+00,1.000000000000000000e+00,2.131257676925670363e+00
1.865459949972374742e+00,1.162410040532026789e+00,2.740000000000000000e+02,2.729682493543927890e+00,1.000000000000000000e+00,2.729682493543927890e+00
1.750350992903830338e+00,1.232665023303366025e+00,2.740000000000000000e+02,2.403251801424572065e+00,1.000000000000000000e+00,2.403251801424572065e+00
2.130344341103946437e+00,1.032569151259392193e+00,2.740000000000000000e+02,3.560374687780905489e+00,1.000000000000000000e+00,3.560374687780905489e+00
2.085339269905705617e+00,1.052001380521946361e+00,2.740000000000000000e+02,3.411536010652156392e+00,1.000000000000000000e+00,3.411536010652156392e+00
1.683437876332968264e+00,1.278338961827934828e+00,2.740000000000000000e+02,2.223303660834299755e+00,1.000000000000000000e+00,2.223303660834299755e+00
2.003519462087844705e+00,1.090342361719157438e+00,2.740000000000000000e+02,3.148280671746385373e+00,1.000000000000000000e+00,3.148280671746385373e+00
1.638589100884078720e+00,1.311723887156142299e+00,2.740000000000000000e+02,2.106329199774485961e+00,1.000000000000000000e+00,2.106329199774485961e+00
2.201383004207620786e+00,1.003235602777956537e+00,2.740000000000000000e+02,3.802658816727714441e+00,1.000000000000000000e+00,3.802658816727714441e+00
2.202310059695145927e+00,1.003058104144618268e+00,2.740000000000000000e+02,3.805482917250905928e+00,1.000000000000000000e+00,3.805482917250905928e+00
2.105864343488584201e+00,1.043218789212889464e+00,2.740000000000000000e+02,3.478677214241640225e+00,1.000000000000000000e+00,3.478677214241640225e+00
1.766012885565467982e+00,1.221868704326788402e+00,2.740000000000000000e+02,2.447086757906051790e+00,1.000000000000000000e+00,2.447086757906051790e+00
1.855348936424503492e+00,1.167894310962007243e+00,2.740000000000000000e+02,2.700525807890579166e+00,1.000000000000000000e+00,2.700525807890579166e+00
1.724441932331833405e+00,1.250361006402415542e+00,2.740000000000000000e+02,2.332267670950711747e+00,1.000000000000000000e+00,2.332267670950711747e+00
1.818726058664219991e+00,1.189153484824130746e+00,2.740000000000000000e+02,2.595275969219920320e+00,1.000000000000000000e+00,2.595275969219920320e+00
1.620633703225709210e+00,1.325497603581397010e+00,2.740000000000000000e+02,2.060543866844692928e+00,1.000000000000000000e+00,2.060543866844692928e+00
1.804836198541520220e+00,1.198080098883959943e+00,2.740000000000000000e+02,2.555230264940429041e+00,1.000000000000000000e+00,2.555230264940429041e+00
2.173629701957989102e+00,1.015042633053861110e+00,2.740000000000000000e+02,3.705878636713712648e+00,1.000000000000000000e+00,3.705878636713712648e+00
1.694127173290638888e+00,1.270953521334712955e+00,2.740000000000000000e+02,2.251406491959870859e+00,1.000000000000000000e+00,2.251406491959870859e+00
2.180138119344243730e+00,1.011881640469505239e+00,2.740000000000000000e+02,3.729176136866619640e+00,1.000000000000000000e+00,3.729176136866619640e+00
2.315137528786585630e+00,9.616981282396123154e-01,2.740000000000000000e+02,4.204120764036750835e+00,1.000000000000000000e+00,4.204120764036750835e+00
2.374318509912153985e+00,9.411200750165280571e-01,2.740000000000000000e+02,4.422580478117199121e+00,1.000000000000000000e+00,4.422580478117199121e+00
1.935584696440263208e+00,1.123864232162030463e+00,2.740000000000000000e+02,2.939255796888206707e+00,1.000000000000000000e+00,2.939255796888206707e+00
1.643737977519016624e+00,1.307536411086234862e+00,2.740000000000000000e+02,2.119801855616022301e+00,1.000000000000000000e+00,2.119801855616022301e+00
2.158819022763909690e+00,1.020821544415578375e+00,2.740000000000000000e+02,3.656018968114704393e+00,1.000000000000000000e+00,3.656018968114704393e+00
1.899410239329271111e+00,1.143510869645691264e+00,2.740000000000000000e+02,2.829959661610666810e+00,1.000000000000000000e+00,2.829959661610666810e+00
2.085574852608734986e+00,1.052219898823419486e+00,2.740000000000000000e+02,3.411749167721907394e+00,1.000000000000000000e+00,3.411749167721907394e+00
2.003851271457115946e+00,1.089773272824784645e+00,2.740000000000000000e+02,3.149948894384297926e+00,1.000000000000000000e+00,3.149948894384297926e+00
1.969817573182943704e+00,1.106657211382785055e+00,2.740000000000000000e+02,3.043681548669380454e+00,1.000000000000000000e+00,3.043681548669380454e+00
2.070643206153887750e+00,1.058859402914508419e+00,2.740000000000000000e+02,3.363097556837702840e+00,1.000000000000000000e+00,3.363097556837702840e+00
1.617906167009528717e+00,1.327069909660829827e+00,2.740000000000000000e+02,2.054067615971027383e+00,1.000000000000000000e+00,2.054067615971027383e+00
1.896956862801953969e+00,1.144739571783242704e+00,2.740000000000000000e+02,2.822796649347111941e+00,1.000000000000000000e+00,2.822796649347111941e+00
2.234640631049872095e+00,9.912029523379525253e-01,2.740000000000000000e+02,3.916714143744665311e+00,1.000000000000000000e+00,3.916714143744665311e+00
1.829397349664588113e+00,1.183355397927150721e+00,2.740000000000000000e+02,2.625154354960900438e+00,1.000000000000000000e+00,2.625154354960900438e+00
1.750867526865252266e+00,1.231962895488050158e+00,2.740000000000000000e+02,2.405036873360380412e+00,1.000000000000000000e+00,2.405036873360380412e+00
2.132609645916803132e+00,1.031937012039361612e+00,2.740000000000000000e+02,3.567354788650406672e+00,1.000000000000000000e+00,3.567354788650406672e+00
2.497637483558750038e+00,9.019882114011197327e-01,2.740000000000000000e+02,4.894483497677212469e+00,1.000000000000000000e+00,4.894483497677212469e+00
1.773484595986437151e+00,1.217094465063204067e+00,2.740000000000000000e+02,2.467827924382855365e+00,1.000000000000000000e+00,2.467827924382855365e+00
1.954924992413170193e+00,1.114017303084704924e+00,2.740000000000000000e+02,2.998090380805869870e+00,1.000000000000000000e+00,2.998090380805869870e+00
2.106880307686350040e+00,1.043053538935666102e+00,2.740000000000000000e+02,3.481545983255439847e+00,1.000000000000000000e+00,3.481545983255439847e+00
2.113195707359435627e+00,1.040430094944848838e+00,2.740000000000000000e+02,3.502272195230959895e+00,1.000000000000000000e+00,3.502272195230959895e+00
2.031966774251137142e+00,1.076621307425182250e+00,2.740000000000000000e+02,3.238605852173978672e+00,1.000000000000000000e+00,3.238605852173978672e+00
1.477036230641029402e+00,1.451905714857949725e+00,2.740000000000000000e+02,1.711302211727609990e+00,1.000000000000000000e+00,1.711302211727609990e+00
1.848687272605003651e+00,1.172182991854797685e+00,2.740000000000000000e+02,2.680636935925966746e+00,1.000000000000000000e+00,2.680636935925966746e+00
1.619436478301256255e+00,1.326683833521730138e+00,2.740000000000000000e+02,2.057307068239853987e+00,1.000000000000000000e+00,2.057307068239853987e+00
2.345082598933030393e+00,9.511166129072042841e-01,2.740000000000000000e+02,4.314036661906406778e+00,1.000000000000000000e+00,4.314036661906406778e+00
1.728183786704508451e+00,1.247020622894493114e+00,2.740000000000000000e+02,2.343176900283642894e+00,1.000000000000000000e+00,2.343176900283642894e+00
2.101678860405064242e+00,1.044221125612008860e+00,2.740000000000000000e+02,3.466301982155754580e+00,1.000000000000000000e+00,3.466301982155754580e+00
1.586753286856620315e+00,1.353488738141038095e+00,2.740000000000000000e+02,1.974772166731004530e+00,1.000000000000000000e+00,1.974772166731004530e+00
2.188623936444187290e+00,1.008765979573199800e+00,2.740000000000000000e+02,3.757720433370561164e+00,1.000000000000000000e+00,3.757720433370561164e+00
1.607457012370605787e+00,1.336363987181915514e+00,2.740000000000000000e+02,2.026854326111510840e+00,1.000000000000000000e+00,2.026854326111510840e+00
1.529625963190452964e+00,1.402125915736400330e+00,2.740000000000000000e+02,1.835576874664488933e+00,1.000000000000000000e+00,1.835576874664488933e+00
1.952896198530464922e+00,1.114969047601976460e+00,2.740000000000000000e+02,2.991991760706468106e+00,1.000000000000000000e+00,2.991991760706468106e+00
1.727831821647469290e+00,1.247011737483264326e+00,2.740000000000000000e+02,2.342462014597381792e+00,1.000000000000000000e+00,2.342462014597381792e+00
2.084712826362427052e+00,1.052340178243405200e+00,2.740000000000000000e+02,3.409380037364948990e+00,1.000000000000000000e+00,3.409380037364948990e+00
1.813763621676747650e+00,1.192588421026140377e+00,2.740000000000000000e+02,2.580634956850237138e+00,1.000000000000000000e+00,2.580634956850237138e+00
1.971305178930744750e+00,1.105811143206857805e+00,2.740000000000000000e+02,3.048425694956279131e+00,1.000000000000000000e+00,3.048425694956279131e+00
1.820060574118224306e+00,1.188992180780475527e+00,2.740000000000000000e+02,2.598356519722972102e+00,1.000000000000000000e+00,2.598356519722972102e+00
